Trial,Elapsed_Time_Sec,Angle_Deg
1,0.002,0.70
1,0.036,0.99
1,0.069,1.09
1,0.103,1.19
1,0.137,1.29
1,0.174,1.38
1,0.207,1.48
1,0.241,1.55
1,0.275,1.66
1,0.310,1.69
1,0.345,1.64
1,0.379,1.61
1,0.413,1.58
1,0.446,1.56
1,0.481,1.55
1,0.515,1.50
1,0.550,1.44
1,0.584,1.42
1,0.618,1.44
1,0.652,1.49
1,0.686,1.57
1,0.719,1.59
1,0.753,1.62
1,0.786,1.62
1,0.820,1.60
1,0.854,1.59
1,0.887,1.57
1,0.921,1.57
1,0.955,1.59
1,0.990,1.60
1,1.024,1.72
1,1.057,1.85
1,1.090,2.01
1,1.125,2.14
1,1.160,2.29
1,1.194,2.43
1,1.229,2.60
1,1.262,2.77
1,1.296,3.00
1,1.331,3.19
1,1.364,3.39
1,1.398,3.59
1,1.432,3.78
1,1.466,3.99
1,1.500,4.09
1,1.536,4.36
1,1.569,4.61
1,1.604,5.12
1,1.638,5.18
1,1.673,5.57
1,1.708,6.01
1,1.741,6.60
1,1.776,7.06
1,1.809,7.44
1,1.844,7.80
1,1.878,8.49
1,1.911,8.91
1,1.944,9.30
1,1.978,9.69
1,2.012,10.09
1,2.045,10.16
1,2.079,10.53
1,2.113,10.97
1,2.148,11.37
1,2.182,12.15
1,2.217,12.61
1,2.251,13.05
1,2.285,13.44
1,2.319,13.81
1,2.352,14.15
1,2.386,14.47
1,2.421,14.56
1,2.454,15.05
1,2.488,15.29
1,2.522,15.45
1,2.556,15.50
1,2.589,15.49
1,2.623,15.46
1,2.656,15.31
1,2.691,15.13
1,2.725,14.89
1,2.758,14.58
1,2.792,14.20
1,2.824,13.84
1,2.858,13.71
1,2.892,12.85
1,2.927,12.16
1,2.961,11.38
1,2.995,10.41
1,3.028,9.27
1,3.063,8.05
1,3.097,6.76
1,3.131,5.42
1,3.165,4.04
1,3.199,2.68
1,3.233,1.38
1,3.267,0.08
1,3.302,-1.16
1,3.338,-2.38
1,3.373,-4.13
1,3.408,-5.27
1,3.441,-6.37
1,3.475,-7.43
1,3.508,-8.29
1,3.542,-9.26
1,3.576,-10.20
1,3.612,-10.77
1,3.646,-12.16
1,3.680,-12.92
1,3.714,-13.65
1,3.748,-14.33
1,3.782,-15.12
1,3.815,-15.71
1,3.849,-16.26
1,3.883,-16.79
1,3.916,-17.32
1,3.951,-17.84
1,3.986,-18.34
1,4.020,-18.73
1,4.054,-19.36
1,4.088,-19.86
1,4.122,-20.32
1,4.156,-20.75
1,4.189,-21.21
1,4.224,-21.69
1,4.259,-22.13
1,4.294,-22.58
1,4.329,-23.02
1,4.365,-23.42
