Frame,MediaPipe_Angle,YOLO_Angle,FreiHAND_Angle
0,-130.76360520094119,,
1,-66.80140948635182,,
2,-58.67130713219584,,
3,-105.94539590092286,,
4,-109.6538240580533,,
5,-99.46232220802563,,
6,-93.09405805891711,,
7,-80.78897345918332,,
8,-47.544804379813094,,
9,-47.544804379813094,,
10,-43.80651057601796,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,-25.016893478100023,,
17,,,
18,-147.80426606528675,,
19,-147.84770485871766,,
20,-152.24145939893998,,
21,-151.99082329198617,,
22,-93.57633437499736,,
23,-98.13010235415598,,
24,,74.05460409907715,
25,-67.5205656028969,98.13010235415598,
26,-86.55261314813481,152.19854122006586,
27,-79.5792876032055,-77.66091272167381,
28,-77.0053832080835,-65.55604521958347,
29,-74.38060786128922,-69.5129858066693,
30,-74.38060786128922,-55.66978280449668,
31,-72.50424212281357,-67.02727866917134,
32,-72.85444908113826,-67.68055960702492,
33,-69.91802251581925,-65.41842551743132,
34,-69.77514056883192,-64.68031308969036,
35,-68.19859051364818,-61.62075691389205,
36,-66.65598903842249,-64.21267181718562,
37,-65.92450174492117,-63.98321705922621,
38,-65.41842551743132,-61.53483785734516,
39,-65.41842551743132,-64.59228189105153,
40,-66.2092261342228,-57.482489384954484,
41,-65.18580300946485,-58.26648084658371,
42,-64.70797884297872,-59.03624346792648,
43,-65.18580300946485,-55.8230112262071,
44,-65.18580300946485,-54.86580694308437,
45,-65.41842551743132,-55.645663344960326,
46,-65.18580300946485,-55.96787218266168,
47,-65.18580300946485,-55.19598824728679,
48,-64.94902218355712,-54.05788812861766,
49,-65.18580300946485,-55.00797980144134,
50,-64.94902218355712,-53.97262661489639,
51,-64.94902218355712,-56.309932474020215,
52,-63.68735150521117,-54.39546601956689,
53,-64.19546760005288,-58.3924977537511,
54,-63.94650468950905,-68.06151953229354,
55,-64.70797884297872,-59.78867761416518,
56,-70.97439396243132,-119.89890183861456,
57,-70.97439396243132,-119.89890183861456,
58,-75.80890345097603,-131.30861401354872,
59,-78.55066201149997,-128.92754359279232,
60,-104.82647997035568,-129.0938588862295,
61,-110.63754698468783,-170.53767779197437,
62,-115.68814343564736,155.55604521958347,
63,-118.61045966596521,123.69006752597979,
64,-122.52489028779105,-118.61045966596521,
65,-71.56505117707799,-115.14478563067895,
66,-123.29356327084668,-175.91438322002512,
67,-124.93093730111057,-173.0189425931702,
68,-127.16447489351145,-173.99099404250546,
69,-127.74680538727468,-169.6111421845304,
