Model,TargetAngle,Camera_1,Camera_2,Camera_3
MP,90,6.866159685800426,,8.379284117382213
MP,180,-1.3677001266002549,,19.59790451470579
MP,270,-0.20219665474112958,,
MP,360,2.659669600907989,,-15.619618767892803
RTM,90,-52.831566133524205,,-5.063499841158489
RTM,180,-5.80644051275641,,
RTM,270,-117.09135038883815,,-45.73965170001903
RTM,360,-0.6321577450692075,,4.941317932928261
Frei,90,-13.211548681566313,0.0,9.421521808945613
Frei,180,-14.886715513138654,0.0,33.571440787694726
Frei,270,-2.7083487855819044,0.0,20.025167789028472
Frei,360,6.257802923309754,0.0,-5.573041787550039
